team,player
Shamrock Rovers FC,Paul McGee
Shamrock Rovers FC,David McGill
Shamrock Rovers FC,Eric McGill
Shamrock Rovers FC,Brian McGovern
Shamrock Rovers FC,Derek McGrath
Shamrock Rovers FC,Jason McGuinness
Shamrock Rovers FC,Stephen McGuinness
Shamrock Rovers FC,Owen McNally
Shamrock Rovers FC,Stephen McPhail
Shamrock Rovers FC,Mick Meagan
Shamrock Rovers FC,Brandon Miele
Shamrock Rovers FC,Trevor Molloy
Shamrock Rovers FC,Eoin Monaghan
Shamrock Rovers FC,Mick Moody
Shamrock Rovers FC,Dave Mooney
Shamrock Rovers FC,Jackie Mooney
Shamrock Rovers FC,Andy Moore
Shamrock Rovers FC,Karl Moore
Shamrock Rovers FC,Paddy Moore
Shamrock Rovers FC,Brian Morrisroe
Shamrock Rovers FC,Cathal Muckian
Shamrock Rovers FC,Chris Mulhall
Shamrock Rovers FC,Paddy Mulligan
Shamrock Rovers FC,Peter Mumby
Shamrock Rovers FC,Liam Munroe
Shamrock Rovers FC,Albie Murphy
Shamrock Rovers FC,Barry Murphy
Shamrock Rovers FC,Danny Murphy
Shamrock Rovers FC,Donal Murphy
Shamrock Rovers FC,John Murphy
Shamrock Rovers FC,Ronnie Murphy
Shamrock Rovers FC,Dan Murray
Shamrock Rovers FC,Andrew Myler
Shamrock Rovers FC,Joseph N'Do
Shamrock Rovers FC,Mick Neville
Shamrock Rovers FC,Paul Newe
Shamrock Rovers FC,Ronnie Nolan
Shamrock Rovers FC,Danny North
Shamrock Rovers FC,Derek O'Brien
Shamrock Rovers FC,Ger O'Brien
Shamrock Rovers FC,Joey O'Brien
Shamrock Rovers FC,Liam O'Brien
Shamrock Rovers FC,Mark O'Brien
Shamrock Rovers FC,Lar O'Byrne
Shamrock Rovers FC,Gay O'Carroll
Shamrock Rovers FC,Tony O'Connell
Shamrock Rovers FC,Danny O'Connor
Shamrock Rovers FC,David O'Connor
Shamrock Rovers FC,Garreth O'Connor
Shamrock Rovers FC,Michael O'Connor
Shamrock Rovers FC,Seán O'Connor
Shamrock Rovers FC,Shane O'Connor
Shamrock Rovers FC,Tommy O'Connor
Shamrock Rovers FC,Stephen O'Donnell
Shamrock Rovers FC,Neil O'Donoghue
Shamrock Rovers FC,Tony O'Dowd
Shamrock Rovers FC,Keith O'Halloran
Shamrock Rovers FC,Graham O'Keeffe
Shamrock Rovers FC,Pierce O'Leary
Shamrock Rovers FC,Ken Oman
Shamrock Rovers FC,Alan O'Neill
Shamrock Rovers FC,Dermot O'Neill
Shamrock Rovers FC,Frank O'Neill
Shamrock Rovers FC,Brendan O'Riordan
Shamrock Rovers FC,Paul Osam
Shamrock Rovers FC,John Osborne
Shamrock Rovers FC,Colm Ó Snodaigh
Shamrock Rovers FC,Pat O'Toole
Shamrock Rovers FC,Terry Palmer
Shamrock Rovers FC,David Parkes
Shamrock Rovers FC,Jim Paterson
Shamrock Rovers FC,Michael Patterson
Shamrock Rovers FC,Russell Payne
Shamrock Rovers FC,Noel Peyton
Shamrock Rovers FC,Derek Phillips
Shamrock Rovers FC,Reyaad Pieterse
Shamrock Rovers FC,Neil Poutch
Shamrock Rovers FC,Conor Powell
Shamrock Rovers FC,Barry Prenderville
Shamrock Rovers FC,Aidan Price
Shamrock Rovers FC,Tadhg Purcell
Shamrock Rovers FC,Richie Purdy
Shamrock Rovers FC,Mark Quigley
Shamrock Rovers FC,Mark Rees
Shamrock Rovers FC,Alan Reynolds
Shamrock Rovers FC,John Reynor
Shamrock Rovers FC,Stephen Rice
Shamrock Rovers FC,Damien Richardson
